[2024-12-31 15:41:47,863] INFO: main: Logging is Implemented]
[2025-01-02 12:25:13,774] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 12:25:14,232] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 12:25:14,267] INFO: common: creating directory at: artifacts]
[2025-01-02 12:25:14,270] INFO: common: creating directory at: artifacts/data_ingestion]
[2025-01-02 12:25:26,289] INFO: 1252426548: File downloaded at artifacts/data_ingestion/data.zip]
[2025-01-02 12:25:27,497] INFO: 1252426548: File extracted at artifacts/data_ingestion]
[2025-01-02 12:42:02,587] INFO: main: Initiating Data Ingestion Stage]
[2025-01-02 12:42:02,589] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 12:42:02,591] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 12:42:02,605] INFO: common: creating directory at: artifacts]
[2025-01-02 12:42:02,606] INFO: common: creating directory at: artifacts/data_ingestion]
[2025-01-02 12:42:08,350] INFO: data_ingestion: File downloaded at artifacts/data_ingestion/data.zip]
[2025-01-02 12:42:08,624] INFO: data_ingestion: File extracted at artifacts/data_ingestion]
[2025-01-02 12:42:08,624] INFO: stage_1_data_ingestion_pipeline: Data Ingestion process completed.]
[2025-01-02 12:42:08,625] INFO: main: Data Ingestion Stage completed successfully]
[2025-01-02 13:05:54,039] INFO: config: PyTorch version 2.0.1 available.]
[2025-01-02 13:18:54,463] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 13:18:54,475] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 13:18:54,477] INFO: common: creating directory at: artifacts]
[2025-01-02 13:18:54,501] INFO: common: creating directory at: artifacts/data_transformation]
[2025-01-02 13:39:25,052] INFO: config: PyTorch version 2.0.1 available.]
[2025-01-02 13:39:32,460] INFO: main: Initiating Data Ingestion Stage]
[2025-01-02 13:39:32,463] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 13:39:32,464] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 13:39:32,512] INFO: common: creating directory at: artifacts]
[2025-01-02 13:39:32,513] INFO: common: creating directory at: artifacts/data_ingestion]
[2025-01-02 13:39:42,798] INFO: data_ingestion: File downloaded at artifacts/data_ingestion/data.zip]
[2025-01-02 13:39:43,540] INFO: data_ingestion: File extracted at artifacts/data_ingestion]
[2025-01-02 13:39:43,541] INFO: stage_1_data_ingestion_pipeline: Data Ingestion process completed.]
[2025-01-02 13:39:43,541] INFO: main: Data Ingestion Stage completed successfully]
[2025-01-02 13:39:43,542] INFO: main: Initiating Data Transformation Stage]
[2025-01-02 13:39:43,543] ERROR: main: DataTransformationTrainingPipeline.initiate_data_transformation() missing 1 required positional argument: 'data_transformation_config']
Traceback (most recent call last):
  File "D:\MLOPS\TextSummarizer\main.py", line 24, in <module>
    data_transformation_pipeline.initiate_data_transformation()
TypeError: DataTransformationTrainingPipeline.initiate_data_transformation() missing 1 required positional argument: 'data_transformation_config'
[2025-01-02 13:41:29,904] INFO: config: PyTorch version 2.0.1 available.]
[2025-01-02 13:41:31,035] INFO: main: Initiating Data Ingestion Stage]
[2025-01-02 13:41:31,038] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 13:41:31,039] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 13:41:31,040] INFO: common: creating directory at: artifacts]
[2025-01-02 13:41:31,041] INFO: common: creating directory at: artifacts/data_ingestion]
[2025-01-02 13:41:31,041] INFO: data_ingestion: File already exists]
[2025-01-02 13:41:31,245] INFO: data_ingestion: File extracted at artifacts/data_ingestion]
[2025-01-02 13:41:31,246] INFO: stage_1_data_ingestion_pipeline: Data Ingestion process completed.]
[2025-01-02 13:41:31,246] INFO: main: Data Ingestion Stage completed successfully]
[2025-01-02 13:41:31,271] INFO: main: Initiating Data Transformation Stage]
[2025-01-02 13:41:31,274] INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-02 13:41:31,277] INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-02 13:41:31,277] INFO: common: creating directory at: artifacts]
[2025-01-02 13:41:31,279] INFO: common: creating directory at: artifacts/data_transformation]
[2025-01-02 13:41:40,167] INFO: stage_2_data_transformation_pipeline: Data Transformation process completed.]
[2025-01-02 13:41:40,245] INFO: main: Data Transformation Stage completed successfully]
